transaction_id,customer_id,transaction_date,amount,transaction_type
1,385,2025-07-27 08:00:22,488.65,refund
2,914,2022-04-18 13:17:53,239.02,deposit
3,530,2024-09-02 07:09:31,47.13,withdrawal
4,348,2023-11-09 09:10:47,30.37,
5,804,2024-03-12 07:52:11,,purchase
6,696,2022-10-06 17:10:26,377.87,withdrawal
7,447,,235.01,purchase
8,,2025-01-08 05:55:35,301.77,deposit
9,74,,119.09,purchase
10,531,2022-07-30 08:28:02,192.6,withdrawal
11,257,2023-02-03 23:28:53,476.34,withdrawal
12,811,2023-11-29 06:34:26,196.57,purchase
13,721,2025-08-21 11:17:33,291.4,refund
14,843,2024-09-09 06:14:22,143.72,
15,443,2023-04-25 21:53:32,279.79,refund
16,678,2024-09-28 10:40:30,241.6,withdrawal
17,405,2022-01-21 05:53:58,206.61,purchase
18,691,2025-01-26 22:53:24,79.3,deposit
19,156,2023-08-14 02:19:29,362.71,withdrawal
20,158,2022-09-01 14:46:02,470.55,deposit
21,34,2022-10-27 18:55:27,213.19,withdrawal
22,627,2023-03-18 07:04:51,211.74,deposit
23,504,2023-08-07 12:31:52,444.99,purchase
24,501,2022-06-30 05:03:46,120.03,withdrawal
25,913,2023-06-12 10:13:11,334.6,
26,386,2022-09-21 01:49:22,463.79,
27,710,2024-05-25 17:39:06,462.52,purchase
28,818,2025-02-28 09:57:59,202.42,refund
29,765,2022-10-20 03:24:08,296.9,deposit
30,725,2022-11-01 01:09:18,94.97,withdrawal
31,729,2022-01-23 07:49:24,232.16,
32,689,2023-07-06 09:59:18,370.89,deposit
33,114,2023-06-15 10:20:52,285.48,purchase
34,572,2024-10-25 04:46:49,56.66,refund
35,59,2023-11-25 21:15:41,224.15,deposit
36,531,2022-09-20 21:30:29,106.44,refund
37,276,2022-03-26 17:06:32,368.89,purchase
38,760,2023-04-02 05:54:59,444.3,purchase
39,621,2023-03-15 13:52:59,344.89,refund
40,,2023-03-23 03:17:01,34.63,refund
41,32,2023-04-30 11:34:00,434.85,withdrawal
42,865,2022-08-08 01:20:46,472.43,deposit
43,71,2024-07-27 19:03:42,86.16,refund
44,171,2023-10-28 00:40:27,93.89,purchase
45,606,2025-05-15 17:50:35,219.69,purchase
46,563,2024-10-03 08:14:32,377.52,refund
47,389,2025-05-18 14:55:08,125.17,refund
48,409,2022-10-23 03:28:06,254.57,deposit
49,176,2024-05-05 18:09:47,193.16,refund
50,132,2025-06-15 17:21:25,390.92,refund
51,912,2023-12-03 21:01:14,113.98,deposit
52,437,2023-05-16 03:41:04,292.58,withdrawal
53,815,2022-03-05 07:27:37,15.24,deposit
54,411,2025-07-15 06:35:52,,deposit
55,863,2022-04-18 14:18:03,367.34,withdrawal
